a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
hui 会回挥汇惠辉恢徽绘毁慧灰贿卉悔秽荟晖彗讳诲珲诙蕙晦睢麾烩茴喙蛔洄浍虺恚蟪咴隳哕㧑橞烠翙翚袆譓𬤝㑰㑹㒑㜇㞀㞧㣛㤬㥣㨤㨹㩓㩨㫎㬩㰥㱮㱱㷄㷇㷐㹆㺔㻅㾯䁤䂕䃣䅏䌇䏨䕇䖶䙡䛛䛼䜋䜐䝅䢈䤧䧥䩈䫭䵻䶐佪僡儶匯叀嘒噅噕噦嚖囘囬圚堕墮壞婎媈嬒孈寭屶屷幑廆廻廽彙彚徊徻恛恵憓懳戲拻揮撝暉暳會桧椲楎槥檅檓檜櫘殨毀毇沬泋洃涣湏溃滙潓澮濊瀈灳烜烣煇煒燬燴獩琿璤璯痐瘣皓眭睳瞺硊禈穢篲絵繢繪缋翬翽芔蒐蔧薈薉藱蘬蘳虫蚘蛕蜖螝褘襘詯詼誨諱譭譮譿豗賄輝輠迴逥違銊鏸鐬鑴闠阓隓靧鞼韋韢頮顪颒餯鮰鰴鼿𠍗𠓊𠧩𠯠𠱥𠲛𠽡𠿔𡋙𡏁𡒾𡜦𡢕𡥋𡭛𡯥𡰋𡹎𡹯𢀡𢄣𢅫𢊄𢊇𢕺𢟾𢯷𢻔𣄓𣋘𣌭𣨶𣸀𤃽𤆳𤈦𤌋𤕚𤜋𤜡𤟤𤳳𤸁𤾈𥀠𥃌𥊔𥌍𥍋𥔯𥱵𥴯𥶵𥸃𦂆𦒎𦞙𦡖𦭹𦽐𧉇𧏧𧖢𧗏𧗼𧧾𧬨𧭾𧳐𨊢𨍹𨗥𨘇𨘲𨛤𨦗𨵘𩀶𩃾𩆁𩇻𩒏𩒳𩔁𩗝𩢱𩶥𩻟𪀟𪀬𪈑𪊂𪏇𪏏𪑀𪔊𪖕𪛂𫖃𫚔𬭬灰𱣄𱳢
hun 婚混魂浑昏珲荤馄诨溷阍婫惛㑮㖧㗃㥵㨡㮯䅙䅱䊐䎜䐊䚠䛰䡣䧰䫟䮝䰟䴷䴹䵪俒倱圂堚忶惽慁捆掍揮昆昬梡梱棍棔殙涽渾湣湷焄焝煇琿眃睧睯碈緄緡繉葷觨諢轋閽顐餛餫鼲𠉣𡇯𡨩𡨳𣇲𣝂𣣏𣣞𣨿𥄇𦃕𦞢𦟲𦡵𦵣𧠚𧣢𨂱𨋨𨏂𨡫𩅴𩇇𩏖𩔉𩧰𩽼𪌽𪑕𱗃
huo 活或货获火伙惑霍祸豁嚯藿锪蠖钬耠镬夥劐攉砉㸌佸嚄漷濩騞𬴃㓉㖪㗲㘞㦎㦜㦯㨯㩇㯉㶁㶡㺢䁨䂄䄀䄆䄑䉟䐸䣶䦝䨥䬉䰥䱛俰剨化吙呵和咟嚿壑奯姡扮捇掝搉擭旤曤楇檴沎湱濊瀖灬焃獲瓠癨眓矆矐礊禍秮秳穫篧耯膕臛艧萿蒦諕謋豰貨越趏過邩鈥鍃鑊閄隻靃𠙞𠯐𠵾𡄴𡓘𡪞𡯢𡾜𡿿𢃎𢋒𢛯𢝇𢞕𣄸𣉒𣤨𤁹𤆄𤊴𤏘𤐰𤬁𤻙𥇙𥊮𥒠𥙨𥝂𥽥𦑌𦑱𦒧𦞦𦨯𧆑𧤴𧯆𧯱𧵻𧹴𨌝𨐶𨘌𨙀𨷮𩆀𩞺𩟨𩟸𩦐𩪭𩭳𪒩𮬟
ji 济机技基记计际及集级几积极己纪即继击既激绩急吉季疾迹鸡剂辑籍寄挤圾冀亟寂暨脊跻肌稽忌饥祭缉棘矶汲畸姬藉瘠骥羁妓讥稷蓟悸嫉岌叽伎鲫诘楫荠戟箕霁嵇觊麂畿玑笈犄芨唧屐髻戢佶偈笄跽蒺乩赍嵴虮掎齑殛鲚剞洎墼蕺芰伋垍堲姞徛惎枅漈瀱穄罽耤觭蹐隮鮆鰶鱀鱾鹡𪟝𫌀𫓯𫓹𬯀𬶨𬶭㑧㒫㓹㔕㗊㗱㘍㙨㙫㚡㚻㛷㞃㞆㞋㞓㞛㞦㠍㠎㠱㡭㡮㤂㤅㥍㥛㦘㦸㧀㧗㨈㨳㫷㭲㮨㮷㰟㲅㲺㳵㴉㴕㸄㸅㹄㻑㻷㽺㾊㾵䀈䀘䁒䁶䂑䇧䇫䈕䋟䍤䐀䐕䐚䓽䕤䗁䗗䚐䛋䛴䜞䝸䞘䟇䟌䠏䢋䢳䣢䤒䦇䨖䩐䩯䮺䯂䰏䱥䲯䳭䳶䶓䶩丌丮乁亼亽倚偮僟其兾刉刏剤劑勣卙卟卽厝叝吇呰咭哜喞嗘嘰嚌坖塈塉奇妀姫姼尐居屰岋峜嵆嶯帺幾庴廭彐彑彶忣愱憿懠懻揖揤撃撠撽擊擠攲敧旡旣暩曁朞期梞棋楖極槉槣樭機橶檕檝檵櫅櫭毄汥泲洁淁済湒漃潗濈濟焏犱狤猗璣璾畟疵痵瘵癠癪皀皍睽瞉瞿磯禝禨秸稘稩穊積穖穧筓箿簊簎粢系紀紒級結給継緝績繋繫繼给羇羈耭胔脔脨膌臮艥艻苙茍茤莋萁葪蒩蓻蔇蕀薊薺蘄蘎蘮蘻虀蜡蝍螏蟣蟻蟿蠀裚襀襋覉覊覘覬覿觙計訐記誋諅諔譏譤谻谿賫賷趌趞跂跡踑踖踦蹟躋躤躸輯轚郅郆鄿銈銡錤鍓鏶鐖鑇鑙隔際雞雦雧霵霽革鞊鞿韲颳飢饑騎驥鬾魕魝魢魥鯚鯽鰿鱭鳮鵋鶏鶺鷄鷑鸄齊齌齍齎齏齐𠀃𠀷𠋻𠍃𠑃𠓞𠔋𠗏𠚽𠟣𠢠𠦫𠨕𠨠𠫷𠮯𠯉𠱙𠱨𠲹𠴩𠴫𠶻𠷌𠹋𠼻𠿉𠿠𡁪𡁰𡃃𡅺𡇟𡋚𡜱𡥞𡦊𡦪𡪱𡫀𡬄𡳮𡹪𡽉𡿙𢁂𢃺𢆻𢉗𢍇𢏞𢓄𢔔𢗂𢗹𢚁𢜭𢡴𢢞𢨐𢩦𢭄𢰒𢱣𢺼𢼋𢼷𣄯𣄱𣇳𣏡𣔽𣖷𣛔𣜇𣣝𣪠𣬠𣯅𣰈𣱗𣲡𣳃𣹜𣽍𤊵𤋭𤌿𤎗𤓑𤛄𤜝𤜾𤠎𤤋𤫝𤳎𤵀𤷉𤺗𤺷𤿠𥈂𥊬𥋥𥒡𥕂𥖙𥘌𥝌𥠈𥠋𥡒𥡴𥣩𥨿𥪫𥪼𥫶𥭋𥭌𥭜𥮪𥰦𥳏𥷙𥺵𥾊𥾡𦁳𦂑𦆡𦇧𦋋𦌗𦌰𦎢𦜸𦝖𦞽𦠄𦠾𦩧𦪱𦮯𦮼𦳌𦵾𦶍𦺩𦺬𦺴𦺶𦼷𦾲𦿓𧃞𧇯𧈼𧉆𧉍𧎿𧐐𧓓𧗒𧙁𧟜𧡉𧡯𧢾𧤏𧥄𧧃𧧟𧧩𧩦𧪇𧪠𧫜𧫠𧮭𧽑𧾢𧾽𧾾𨀶𨂢𨄐𨅤𨊻𨋉𨍺𨐆𨒴𨖊𨛉𨛑𨛳𨜒𨢵𨣧𨤹𨦮𨪏𨮺𨲪𨳋𨳻𨸚𨹶𨻕𩀖𩉜𩉢𩐆𩓮𩚮𩜆𩞊𩠨𩢴𩥉𩦤𩧱𩨒𩩛𩯋𩯰𩴃𩼄𩼚𪂍𪂺𪄵𪄸𪅹𪊆𪌍𪔋𪘥𱏅
jia 家加价假佳架甲嘉贾驾嫁夹稼钾茄迦伽颊浃枷戛荚痂镓笳珈岬胛袈郏葭袷瘕铗跏蛱恝叚斝梜槚泇𬂩㕅㚙㪴㮖㸦㹢㿓䀫䀹䂟䇲䑝䕒䕛䘥䛟䩡䴥乫傢價呷咖唊嘏圿埉夏夾婽宊幏徦忦戞扴抸押拁拮挈挟挾揩揳擖斚暇柙椵榎榢檟毠浹犌猰猳玾筴糘絜耞腵莢蛺蝦裌豭貑賈跲郟鉀鉫鉿鋏鎵頡頬頰餄駕駱骱鴶鵊麚鿼𠷉𠺢𡊠𡩚𡭘𡶥𢉤𢗊𢜿𢪍𢫢𢱈𢱌𣦉𣪇𣮫𤖰𤗜𤟚𤠙𥇗𥋣𥑐𥑔𥝿𥞵𥡮𥹌𦎮𦎱𦙺𦣯𦧮𦨦𦸘𦺧𦽤𧉪𧦤𧿵𨒇𨔗𨔣𩉡𩊏𩌍𩚲𩛩𩠃𩨹𩲣𩶛𪆲𪇷𪈟𪐓𪔟𪙏
jian 建间件见坚检健监减简艰践兼鉴键渐柬剑尖肩舰荐箭剪俭碱茧奸歼拣捡煎贱溅槛涧笺谏饯锏缄睑謇蹇腱菅翦戬毽笕犍鞯牮枧湔鲣裥踺搛缣鹣蒹谫僭戋趼楗暕篯諓靬鞬鳒𬣡㓺㔋㔓㡨㣤㦰㨴㨵㪠㭴㯺㰄㳨㵎㶕㹇䄯䅐䇟䉍䌑䌠䓸䔐䘋䚊䟅䟰䤔䥜䧖䫡䬻䭈䭕䭙䭠䮿䯡䵡䵤䶠䶢䶬侟俴倹傔僣儉冿前剣剱劍劎劒劔劗咸喊囏囝堅堿塹墹姦姧孱寋帴幵弿彅徤惤戔戩挸揀揃揵撿擶攕旔朁栫梘検椷椾榗樫橏橺檢檻櫼殱殲沮洊浅涀淺減湕漸澗濫濺瀐瀳瀸瀽熞熸牋犴猏玪珔瑊瑐監睷瞯瞷瞼硷碊磵礀礆礛稴筧箋箴簡籈籛糋絸緘縑繝繭纖聻臶艦艱茛菺葌葥蔪蕑蕳薦藆虃螹蠒袸襇襉襺見覵覸詃諫謭譖譼譾豜豣賎賤趝跈踐軒轞醎醶釰釼銒鋑鋻錢錽鍊鍳鍵鏩鐗鐧鐱鑑鑒鑬鑯鑳閒間險韀韉餞餰馢騫鬋鰎鰔鰜鰹鳽鵳鶼鹸鹹鹻鹼麉黚黬齊𠊒𠍚𠏇𠐻𠫘𠷁𠹟𠼤𠽱𠿏𡄑𡄓𡅶𡑯𡬵𡭭𡸃𡾰𢃬𢆞𢆦𢍫𢐆𢦺𢨿𢩀𢳚𢵈𣘖𣘷𣚙𣜭𣝕𣠷𣥞𣮏𣳲𣴓𣽖𣽦𤀩𤄒𤍖𤧣𤪋𤷃𥀹𥊇𥌈𥍀𥍹𥜲𥡝𥢇𥯦𥳒𥳟𥳷𥴱𥻧𥽐𦁲𦂇𦋰𦏔𦞬𦢣𦣨𦩵𦺍𦺘𦽇𦾶𧀇𧀵𧂂𧂆𧂢𧅆𧗸𧙧𧢖𧤨𧤽𧥈𧧅𧬫𧮈𧲨𧸘𨍒𨎫𨏊𨔥𨢑𨣇𨣝𨤄𨪅𨰓𨳡𨳿𨴾𨵭𨷓𩅼𩆯𩆷𩇏𩉍𩉔𩋋𩌯𩍎𩎒𩛧𩟗𩤊𩱃𩻘𩽜𪃋𪃛𪆿𪉦𪋁𪏊𪐻𪒫𪒹𪙨𬑗𬘖𭄛𰀢𰯲𱖲𲍯
jiang 将江奖讲降疆蒋姜浆匠酱僵桨绛缰犟豇礓洚茳糨耩弶膙鳉㢡㯍㹔䁰䉃䋌䒂䗵䜫䞪䥒傋勥匞塂壃夅奨奬將嵹弜強强彊摪摾槳橿櫤殭滰漿獎畕畺疅糡紅絳繮翞葁蔃蔣薑虹螀螿袶講謽醤醬韁顜鱂𠘌𠷐𠼢𡏞𡑶𡲣𡷍𢘸𢪇𣚦𣨣𣩴𣫳𤕭𤕯𤖛𤛜𥆅𥔣𥗪𥞜𥬮𥷃𦦗𧘍𨃇𨜰𨯞𩌾𩝽𩴒𩷄𩷭𪀘𫮬𱴘𱽿
jiao 教交较角叫脚缴胶轿郊焦骄浇椒礁佼蕉娇矫搅绞酵剿嚼饺窖跤蛟侥狡姣皎茭峤铰醮鲛湫徼鹪僬噍艽敫䴔峧恔斠滘漖燋璬皦皭藠㠐㡑㩰㬭㭂㰾㲬㳅㶀㹾㽱㽲䀊䁶䂃䉰䌭䍊䕧䘨䙼䚩䡈䢒䥞䰘䶰䶷僑僥儌劋勦卻叽呌咬喬嘂嘄嘐嘦噭妖嫶嬌嬓孂學嵺嶕嶠嶣徺悎憍憢憿挍挢捁摎摷撟撹攪敎敥敽敿晈暞曒校樔橋櫵湬潐澆激灂灚烄煍燞爝獥珓皛矯稾穚窌笅筊簥糾絞繳纐腳膠膲臫芁茮菽萩蕎虠蟜蟭覺觉訆譑譥賋趫趭踋蹻較轇轎鄗釂釥鉸鐎隦餃驕骹鮫鱎鵁鵤鷦鷮𠕧𠘣𠜅𠝑𠞰𠩏𡏭𡓖𡙎𡟠𡥈𡬋𢀌𢄺𢅎𢒾𢕪𢥚𢧱𢯴𢶡𢺽𢻟𢼫𣁹𣏑𣝞𣧦𣩓𣺳𤃭𤉧𤕝𤫷𤶀𤶳𤺃𥂨𥃤𥃧𥃪𥄉𥅟𥇟𥉒𥉼𥏹𥘊𥡤𥦢𥳴𥹜𦅃𦌆𦗵𦫶𦮁𧂈𧎙𧎸𧣦𧺜𧾐𨇕𨎦𨎬𨓩𨖵𨝰𨡃𨨴𨱓𨲭𨶟𨶪𨶲𨸋𨺹𩊔𩎔𩏷𩥊𩯘𩱞𩴧𩵰𩾗𩾾𩿑𪁉𪖄𪚰𫐖
jie 结解界接节届介阶街借杰洁截姐揭捷劫戒皆竭桔诫秸睫藉拮芥诘碣嗟颉蚧孑婕疖桀讦疥羯喈鲒骱㛃劼岊悈檞湝玠絜蜐褯㑘㓗㓩㔚㔾㘶㝏㞏㞯㠎㠹㡇㦢㨗㨩㫸㮞㮮㸅㼪㾏㿍䀷䀹䁓䂝䂶䃈䅥䇒䌖䕙䕸䗻䛺䣠䥛䦈䫘䯰䰺䱄䲙䲸丯亥价倢假偈偕偼傑價刦刧刼卩卪吤唧唶啑喼嚌圾堦堺契她妎媎媘媫嫅家尐屆岕崨嵑嵥嶰嶻巀差幯庎徣扢担拾掲掶搩擑擮擳斺昅暨杢桝椄楐楬楶楷概榤櫭毑洯渴滐潔煯犗狤獬琾畍疌痎癤砎砝礍祖稭節籍紇紒結罝耤脥脻艐苴莭菨蓵蛣蛶蝍蝔蠘蠞蠽衱衸袓袷袺裓觧訐詰誡誱諎謯趌跲踕迼鉣鍇鍻鎅階雃鞂鞊頡飷髻魝魪鮚鶛𠂈𠄍𠅂𠎿𠐉𠓢𠙤𠬮𠯙𠲵𠷟𡉷𡔣𡗦𡗲𡙣𡣯𡨲𡩣𡴱𡵒𡵚𡸎𡽱𢈻𢎔𢎡𢢂𢨜𢪍𢫐𢬱𢮌𢱄𢴲𢷿𢻮𣆟𣓉𣙴𣚃𣬫𣮌𣮍𣰞𣲡𣳟𣶏𤁢𤘦𤙩𤭧𤮌𥁂𥅴𥇒𥓐𥝔𥝥𥠹𥢻𥵞𥷫𥾌𦀓𦀖𦁉𦈜𦈰𦎒𦝨𦵴𦺢𦿐𧉧𧍠𧍩𧏥𧜅𧞝𧞩𧞬𧣋𧪘𧫑𧼨𧽄𧽟𧾢𧾯𨃲𨐑𨓰𨕽𨥂𨵠𩔄𩘅𩟦𩟶𩡺𩢴𩧦𩧵𩩰𩯰𩾶𪀾𪁍𪃈𪅸𪇲𪉋𪉚𪌧𪑹𪖋𪙏𬭴𮔂
jin 进金今近仅紧尽津斤禁锦劲晋谨筋巾浸襟靳瑾烬缙矜觐堇馑荩噤廑妗槿赆衿卺墐殣浕溍珒琎瑨祲釿𬬱㝻㦗㧆㨷㬐㬜㯲㯸㱈㴆㶦㶳㹏㻱䀆䃡䃸䆮䈥䈽䋮䌍䌝䐶䑤䒺䗯䘳䝲䤐䤺䥆䫴䭙䶖伒侭僅僸儘兓凚劤勁厪吟唫嚍埐堻壗婜嫤嬐嬧寖嶜巹惍慬搢斳晉枃榗歏湛漌濅濜煡燼琻璡璶盡矝砛竻笒紟紾緊縉肋臸荕菫菳蓳藎覲觔謹賮贐進釒鋟錦钅饉馸鹶黅齽𠂟𠞱𠞾𠢱𠢵𠬶𠰇𠾤𠾬𡢳𡥦𡥨𡺽𢉅𢎭𢙿𢦊𢬬𢬶𢱷𢽖𣓏𣝌𤄼𤘡𤣶𤧫𤵞𥂵𥖜𥧲𥯑𦈟𦎷𦘔𦞬𦧈𦩏𦽔𧔷𧗁𧢹𨆃𨔥𨚡𨭺𩀿𩖗𩤿𩻛𪉢𪏴𪑙𪖼𫄛
jing 经京精境竞景警竟井惊径静敬净镜睛晶颈荆兢靖泾憬鲸茎腈菁胫阱旌粳靓痉儆迳婧肼刭獍䴖倞汫猄璟璥竫麖鼱㘫㢣㣏㬌㵾㸒䔔䜘䝼䪫䵞丼亰仱俓傹凈剄劲勁坓坕坙妌婙婛宑巠幜弪弳徑憼擏旍晟暻曔桱梷橸檠殑氏汬浄涇淨瀞烴燝獷璄痙秔稉穽竧競竸箐粇経經聙脛荊莖葏葝蜻蟼誩踁逕醒鋞鏡陘青靘靚靜頚頴頸驚鯨鵛鶁鶄麠𠑱𠗊𠗌𠦋𠭉𠭗𠲮𠳬𠷐𡁔𢀖𢈴𢹘𣋢𣬙𣻒𤜰𤰳𤷦𥅸𥠛𥯙𥶹𦀇𦂠𦜳𦥍𦳲𦽁𦾿𧑊𧓔𧚫𧤵𨁎𨙷𨥙𨵼𩃋𩇕𩓞𩓨𩩋𩰹𩳯𩹢𩻱𪂴𪇒
jiong 窘炯迥炅扃䌹冏坰泂颎駉𬳶㓏㢠㤯㯋㷗㷡䅃䢛侰僒冂冋囧坷垧埛扄昋浻澃瀅烱煚煛熒熲燛絅綗臦臩蘏蘔褧逈銄鎣顈駫𠕕𠖷𡆩𢂶𢄗𣅻𣔲𣕄𤌇𦀝𧍮𨴀𩓺𩚱𪔃𪕍
jiu 就究九酒久救旧纠舅灸疚揪咎韭玖臼柩赳鸠鹫厩啾阄桕僦鬏㠇㙀㝌㡱㤹㥢㧃㩆㲃㸨㺩㺵㽱䅢䆒䆶䊆䊘䓘䛮䡂䬨䰗䳎䳔丩乆乣倃剹勼匓匛匶噍奺廄廏廐愁慦捄揂揫摎朻杦柾樛欍殧氿汣湫牞稵穋糺糾紤繆舊舏萛蝤蹴镹韮鬮鯦鳩鷲麔齨𠃖𠃺𠕴𠖬𠙔𠚨𠛩𠜃𠜉𠠳𠣿𠴄𠿈𡆥𡚮𢀙𢑇𢜥𢽭𣁭𣐤𣟼𣲄𤉥𤴥𤴦𤴪𤷑𥆷𥘦𥠃𥤳𦠢𦭺𦭻𦱠𦱱𦱲𦽬𧡑𧫾𧳫𧾻𨖏𨘂𨘮𨳊𨾉𨾞𩏶𩏷𩒦𩢹𩭓𩱼𩶧𪀏
ju 局据具举居剧巨聚距句拒俱菊拘炬桔惧矩鞠驹锯踞咀枸掬沮莒橘飓疽钜趄踽遽琚龃椐苣裾狙倨榉苴讵雎锔窭菹鞫犋屦醵䴗娵岠岨崌弆泃澽焗砠秬筥腒蒟鮈𬶋㖩㘌㘲㜘㞐㞫㠪㡹㥌㨿㩀㩴㪺㬬㮂㯯㵵㹼㽤䀠䃊䄔䅓䅕䈮䋰䎤䏱䕮䗇䛯䜯䝻䡞䢸䢹䣰䤎䪕䪶䰬䱟䱡䳔䵕䶙䶥且乬仇佝侷俥倶僪冣凥劇勮匊告啹坥埧埾壉姐姖娶婅婮寠屈屨巈巪忂怇怐怚愳懅懼抅拠拱挙挶捄揈揟據擧昛柜梮椇椈榘檋櫸欅歫毩毱泦洰涺淗渠湨烥焣爠犑狊珇痀眗瞿租窶簍簴籧粔粷罝耟聥臄舉艍萭蒩蓻蔞蘜蘧處虡蚷蛆蜛螶袓襷詎諊豦貗趉趜趡足跔跙跼踘蹫蹻躆躹車軥輂车邭郰郹鄒鄹鉅鉏鋤鋦鋸鐻閰陱雛颶駏駒駶驕驧鬻鮍鮔鴡鵙鵴鶋鶪鼰鼳齟𠉧𠋬𠙆𠚵𠜹𠟰𠤄𠨭𠩉𠮑𠰾𡉎𡒍𡕖𡢒𡥶𡨅𡨢𡫬𡱾𡳘𡶋𡸘𡸨𡿾𢚆𢤫𢩁𢯺𣌬𣍇𣎛𣐊𣓌𣖣𣶝𣻐𤓯𤔋𤖵𤜔𤢓𤷢𤼳𥂃𥄷𥇛𥈋𥉁𥕑𥘮𥢧𥪏𥬙𥮗𥯔𥲜𥴧𥴪𥷚𦀣𦅽𦇙𦊐𦗻𦙮𦛓𦜛𦞇𦟳𦥑𦱅𦺖𦼈𧂜𧄛𧝲𧣒𧣻𧤑𧲋𧵞𧷾𧸧𧹕𧺤𧺹𧻗𧽻𧾣𧿻𨁺𨋔𨋧𨍯𨗝𨛮𨝮𨧙𨨠𨸰𩉸𩋜𩍔𩍸𩛺𩜃𩧒𩧺𩫴𩬜𩭊𩰤𩳵𩴘𩷐𩿝𪀏𪀣𪁥𪂓𪗖𬬺𮣷𱖑𲌉
juan 卷捐眷娟倦绢隽镌涓鹃鄄蠲狷锩桊焆㢧㢾㪻㯞㷷䄅䅌䌸䖭䚈䡓䣺䳪劵勌勬呟圈埍埢奆姢婘巂巻帣弮悁惓慻捲擐朘梋棬泫淃獧瓹甄眩睃睊睠絭絹縳罥羂脧腃臇菤萒蔨蕊蜷裐襈踡身鋑鋗錈鎸鐫闂雋鞙韏飬餋鵍鵑𠔉𠡶𠢚𡘰𡡀𡫂𡱑𢃩𢋄𢍏𢎠𢎥𢝓𣙢𣚓𣜨𣬋𣬏𤎱𤲨𤺻𥁠𥅬𥆞𥱽𦁆𦊌𦢿𦦽𦬾𦮻𦳽𦼱𧎖𧕲𧭦𧯦𨆈𨌫𨤑𨩸𨹵𩎳𩏗𩏹𩔱𩘒𩜇𩟥𩠉
jue 决绝觉掘崛诀獗抉爵嚼倔厥蕨攫珏矍蹶谲镢噱桷噘撅橛孓觖劂爝㵐傕玃玦砄𫔎𫘝㔃㔢㟲㤜㩱㭈㭾㰐㲄㷾㸕㹟㻕䀗䁷䇶䊽䍳䏐䏣䐘䖼䘿䙠䝌䞵䞷䟾䠇䡈䣤䤎䦆䦼䳏䶂乙亅刔勪匷叕吷啳嗟埆壆夬妜孒屈屩屫崫嶡嶥弡彏憠憰戄挗捔撧斍柽梏構橜欔欮殌氒決泬潏灍焳熦燋爑爴狂玨瑴璚疦瘚矞矡穱穴絕絶繑繘脚腳臄芵蕝蕞虳蚗蛙蟨蟩蠼袦覐覚覺角觳觼訣誳譎貜赽趉趹蹷蹻躩較逫鈌鐍鐝钁闋闕鞽駃騤髉鱖鴂鴃鶌鷢龣𠀔𠄌𠄑𠊬𠎮𠜾𠢤𠨊𠫃𠶸𡈅𡚠𡲗𡳾𡾜𢁪𢎹𢏷𢔱𢖦𢨏𢩯𢯅𢱺𢴭𣅡𣖬𣨢𣬎𤛦𤞴𤟎𤹋𤼗𥄴𥆌𥈾𥏘𥕲𥛯𥤘𥪊𥾮𦁐𦏅𦓐𦛲𦠒𦪘𧍕𧗫𧝃𧣸𧤼𧥎𧮫𧮬𧱝𧺐𧼨𧽸𧾵𧿺𨊿𨏹𨟠𨬐𨰜𨼎𨼱𩊺𩌡𩍷𩏺𩓻𩧏𩧡𩪗𩰨𪁠𪈴𪖜𪚅𪨗𫏋𫛞𱉔𱱱
jun 军均俊君峻菌竣钧骏浚隽郡皲麇捃䐃晙焌珺畯莙葰鲪㑺㒞㕙㖥㚬㝦㴫㻒㼱㽙䇹䕑䜭䝍儁匀卷呁埈姰寯懏攈攟旬桾棞汮濬焞燇狻皸皹睃碅筠箘箟蔨蚐蜠袀覠訇軍鈞銁銞鋆鍕陖雋餕馂駿鮶鵔鵕鵘麏麕龜龟𠀹𠣕𠨢𢉦𢹲𢻸𤮪𥇘𥚂𥜮𥡣𦇘𦌺𦴌𦵼𧥺𧯖𧱝𧽔𨌘𨛐𨲄𨶊𪍁𪕞
ka 卡喀咖咔胩㮟䘔佧呿咯垰擖衉裃鉲
kai 开凯慨楷恺揩锴铠忾垲剀锎蒈炌闿㚊㪡㱾䁗䐩䒓䠽䡷䤤䫦凱剴劾勓喝喫嘅塏奒岂嵦幆愒愷愾暟核欬欯渴溘濭炏烗豈輆鍇鎎鎧鐦開閡闓雉颽𠢲𡁁𡙓𡳂𢋝𢔡𢢚𢾆𤉫𤐩𤡲𤸱𤻜𥃣𥎆𥏪𥻄𦂄𦈲𨴆𩋧𩫀
kan 看刊勘堪坎砍侃槛瞰阚龛戡莰墈崁嵁磡衎㘛㙳㪁㸝䀍䁍䖔䘓䫲䳚偘冚凵喊埳堿塪嵌惂扻栞檻欿歁監矙碪竷薟輡輱轁轗闞靬顑餡龕𠝲𠪚𡚜𡶪𡸞𡺗𢙮𢦟𣊟𣣒𣽌𤬪𥍓𥑫𥓒𥤱𥦔𦞖𧇦𧡵𧯰𧱄𨍜𨒞𩐬𩑟𩒃𩓟𩜱𪉯𫐘𱂱
kang 康抗扛慷炕亢糠伉钪闶𡐓𩾌㝩㢜㱂㼹䆲䗧䡉䦎匟囥坑奋嫝嵻忼摃杭槺沆漮犺砊穅粇羫荒躿邟鈧鏮閌阬骯鱇𠻞𠾨𡵻𡻚𢴦𣔛𤮊𥉽𥒳𥕎𥹺𨀫𨂟𨄗𨎍𨝎𨻷𪎵𱠏
kao 考靠烤拷铐栲尻犒㸆洘㼥䎋䐧䯌䯪丂嵪搞撟攷槀槁焅熇稾薧訄銬髛鮳鯌鲓𡭳𣐊𣧏𣨻𣩅𥬯𥹬𧋓𨃤𨘴𩝝𩩾
ke 可科克客刻课颗渴壳柯棵坷恪苛咳磕珂稞瞌溘轲窠嗑疴蝌岢颏髁缂氪骒锞剋匼炣牁㕉㕎㝓㞹㤩㥛㪙㪡㪼㵣㸯䂺䆟䈖䌀䐦䓇䙐䡷䫘䯊䶗勀勊呵喀堁娔尅峇嵑嵙嶱悈愘愙揢搕敤榼樖歁殼毼渇濭犐痾盍砢硞碣碦磆礊礚窼簻緙翗胢艐萪薖蚵袔課趷軻醘鈳鉿錁錒钶頦顆騍龕𠏀𠛳𠡜𠡤𠢹𠩧𠪒𠪟𠲙𠳭𠶲𠷄𡞢𡱼𡸡𡻘𢈈𢩏𢩐𢩘𢼐𢾩𣧤𣩄𣩱𣲊𣹇𤖇𤛗𤰙𤸎𤸱𥃕𥊉𥔽𥝹𥠁𥦨𥧇𥯚𦝣𧈗𧎗𧛾𧜡𧠋𧨵𧵛𧿫𨍰𨏿𨢸𩏭𩜭𩭽𩰻𩱘𪀉𪃭𪍎𪓮𪽇𮯙𱿣
kei 剋刻尅
ken 肯垦恳啃龈裉硍㸧垠墾懇掯狠珢肎肻褃豤貇錹頎齦𠳁𣍟𣥤𤀊𥖞𨼯𩎤
keng 坑铿吭硁㧶㰢䀴䃘䡩䡰劥坈奟妔忐挳揁摼殸牼硍硎硜硻脛誙踁鉺銵鍞鏗阬𠠷𠡮𡞚𡷨𣢐𣢴𣫒𥉸𥑅𥑒𥒁𥒱𥥳𧀘𨋔𨌳𨌶𨍑
kong 空控孔恐倥崆箜埪硿㚚㤟㲁㸜䅝悾椌涳矼穹腔躻錓鞚鵼𠀝𡤿𢃐𢪬𢷙𢽦𣏺𤗇𤤲𥔇𥥅𦁈𦱇𦶐𧌆𧚬𩲧𪔣
kou 口扣寇叩抠蔻芤眍筘彄𫸩㓂㜌㰯㸸䁱䍍䳹佝冦刳剾劶區嫗宼彀怐挎摳敂毆溝滱眗瞉瞘窛竘簆茠蔲釦鏂鷇𠛅𡠆𡯷𢂁𢄠𢚫𢟭𢼃𣂻𣻎𣿟𤘘𥊧𥲃𦬅𦴎𦶲𧥣𨙫𨥴𩀠𪄺𪇄𫃜𬆮
